Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
1,29/09/2003,2.0,3.0,5.0,006,9.0,10.0,11.0,13.0,14.0,16.0,20.0,23.0,24.0,25.0,"R$0,00",BA PR SP,,BA,,PR,,SP,154,4645,48807,257593,"R$49= .765,82","R$689,84","R$10,00","R$4,00"
2,06/10/2003,1.0,4.0,5.0,006,7.0,9.0,11.0,12.0,13.0,15.0,19.0,20.0,23.0,24.0,"R$0,00",SP,,SP,184,6232,81252,478188,"R$59= 6.323,70","R$1.388,95","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00","R$0,00","R$0,00"
3,13/10/2003,1.0,4.0,6.0,007,8.0,9.0,10.0,11.0,12.0,14.0,17.0,20.0,23.0,24.0,"R$0,00",SP,,SP,158,6897,96244,608211,"R$40= 0.623,70","R$2.173,36","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00","R$0,00","R$0,00"
4,20/10/2003,1.0,2.0,4.0,005,8.0,10.0,12.0,13.0,16.0,17.0,19.0,23.0,24.0,25.0,"R$0,00",MT,,MT,258,9569,123912,706657,"R$9= 02.226,02","R$1.498,72","R$10,00","R$4,00","R$2,00<= /td>","R$0,00","R$0,00","R$0,00"
5,27/10/2003,1.0,2.0,4.0,008,9.0,11.0,12.0,13.0,15.0,16.0,20.0,23.0,24.0,25.0,"R$0,00",BA MS,,BA,,MS,472,14736,195636,860992,"R$= 380.017,55","R$687,49","R$10,00","R$4,00","R$2,00<!--= td-->","R$0,00"
6,03/11/2003,1.0,2.0,4.0,005,6.0,7.0,10.0,12.0,15.0,16.0,19.0,21.0,23.0,25.0,"R$0,00",RJ RS,,RJ,,RS,393,14242,162320,888301,"R$= 489.140,06","R$1.066,83","R$10,00","R$4,00","R$2,00=","R$0,00"
7,10/11/2003,1.0,4.0,7.0,008,10.0,12.0,14.0,15.0,16.0,18.0,21.0,22.0,23.0,25.0,"R$0,00",BA DF GO MG RJ RS SP,,BA,,DF,,GO,,MG,,RJ,,RS,,SP
8,17/11/2003,1.0,5.0,6.0,008,9.0,10.0,13.0,15.0,16.0,17.0,19.0,20.0,22.0,25.0,"R$0,00",BA,,BA,256,11414,149037,926910,"R$= 1.201.958,08","R$2.012,21","R$10,00","R$4,00","R$2,= 00","R$0,00","R$0,00","R$0,00"
9,24/11/2003,3.0,4.0,5.0,009,10.0,11.0,13.0,15.0,16.0,17.0,20.0,21.0,24.0,25.0,"R$0,00",PR SP,,PR,,SP,407,14973,213511,1104328,"R= $336.053,65","R$1.061,60","R$10,00","R$4,00","R$2,0= 0","R$0,00"
10,01/12/2003,2.0,3.0,4.0,005<!--= td-->,6.0,8.0,9.0,10.0,11.0,12.0,14.0,19.0,20.0,23.0,024,"R$0,00",0.0,,380,15767,207355,1186563,"R= $0,00","R$1.157,08","R$10,00","R$4,00","R$2,00","R$1.025.945,00","R$0,00","R$0,00"
11,08/12/2003,2.0,6.0,7.0,008<!--= td-->,9.0,10.0,11.0,12.0,16.0,19.0,20.0,22.0,23.0,24.0,025,"R$0,00",0.0,,306,14249,216679,1343171,"R= $0,00","R$1.855,82","R$10,00","R$4,00","R$2,00","R$2.351.000,93","R$0,00","R$0,00"
12,15/12/2003,1.0,2.0,4.0,005<!--= td-->,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,24.0,025,"R$0,00",1.0,GO,,GO,631,24400,322557,1607584,"R= $3.490.966,18","R$771,32","R$10,00","R$4,00","R$2,0= 0","R$0,00"
